"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"RCRAINFO","SCD991278912","34.661595","-82.830663","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987597325","33.970295","-81.031622","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD991278912","34.685","-82.833333","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD982133274","34.852748","-82.248517","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD036277465","34.84208","-82.36136","REGION04","ADDRESS MATCHING-OTHER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD086373131","34.50809","-82.64994","REGION04","ADDRESS MATCHING-OTHER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD003508884","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD980583520","33.918333","-80.346667","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD982126419","34.729277","-80.061298","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000777003","32.830317","-79.953698","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000787499","33.860056","-81.184775","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000782797","33.814786","-79.036954","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987583028","32.832288","-79.958718","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982142473","34.167083","-79.700417","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD054227897","34.858333","-82.391667","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD981867641","34.049471","-81.108084","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987577830","34.03025","-81.11758","REGION04","ADDRESS MATCHING-HOUSE NUMBER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD981030406","34.103683","-81.198865","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD037398120","34.123333","-81.0125","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD036059152","33.246667","-81.375","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD987570819","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD987579943","34.363901","-80.610331","COMMERCIAL VENDOR","ADDRESS MATCHING-OTHER","4500","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD982116386","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCR000769463","34.910813","-82.206304","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000004614","33.558","-81.711853","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000004754","34.102239","-80.911095","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987596442","34.913092","-82.230125","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000767137","34.896338","-82.081001","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987571833","34.852676","-82.357736","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987581378","33.02093","-80.17029","REGION04","ADDRESS MATCHING-OTHER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCR000006015","34.92609","-81.83966","REGION04","GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF)","10","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD018668392","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD987573771","32.89833","-80.669843","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987571965","32.215562","-80.736206","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SC8170022620","32.9625","-79.9775","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD003351434","33.976641","-78.855477","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987597176","33.98054","-80.957971","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982084600","32.910293","-80.642638","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD003508884","34.051238","-81.024233","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987598364","32.212775","-80.729619","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000771691","32.858235","-79.984913","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000007203","32.87586","-79.97192","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000780916","33.919717","-80.363427","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SC0000328914","34.753387","-81.534495","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987583143","34.471962","-81.891575","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000770420","33.292834","-81.024692","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982116444","34.192174","-82.170453","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000763060","33.03187","-80.208435","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982126104","33.494668","-81.942251","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD981864903","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCR000791616","34.966273","-82.108533","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SC0000053306","34.83962","-82.36371","REGION04","GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF)","10","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD982126104","33.493811","-81.950787","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD982116386","33.703222","-78.905861","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD003351434","33.916667","-78.833333","RCRIS","","","","","REGULATED ENTITY","SC"
